,ibns_20u,vgs_m1,name,type,time,OK
0,-5.0,1.0,tran_SchGtKfsTlVt,Sch,Thu Jan 22 23:34:25 2026,False
1,-5.0,1.0,tran_SchGtKsfTlVt,Sch,Thu Jan 22 23:34:25 2026,False
2,-5.0,1.0,tran_SchGtKffTlVt,Sch,Thu Jan 22 23:34:24 2026,False
3,-5.0,1.0,tran_SchGtKssTlVt,Sch,Thu Jan 22 23:34:24 2026,False
4,-5.0,1.0,tran_SchGtKfsThVt,Sch,Thu Jan 22 23:34:24 2026,False
5,-5.0,1.0,tran_SchGtKsfThVt,Sch,Thu Jan 22 23:34:24 2026,False
6,-5.0,1.0,tran_SchGtKffThVt,Sch,Thu Jan 22 23:34:24 2026,False
7,-5.0,1.0,tran_SchGtKssThVt,Sch,Thu Jan 22 23:34:24 2026,False
